"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1901215","negative regulation of neuron death","50/2445","244/23210",3.0607906026482e-06,5.47817882378662e-05,3.36810595679802e-05,"Mt1/Slc7a11/Gclc/Atf4/Hmox1/Prkcg/Gclm/Glp1r/Stat3/Tox3/Nr4a3/Optn/Ppargc1a/Faim2/Nrp1/Lrrk2/Esr2/Angpt1/Wnt3a/Ghr/Foxq1/Gdnf/Arrb1/Hsp90ab1/Rel/Kdr/Retreg1/Dtnbp1/Dnajc5/Cebpb/Cx3cl1/Il6/Snca/Adam8/Ccl12/Hdac7/Adora2a/Hif1a/Bcl2l1/Ccl5/Cx3cr1/Map2k4/Smo/Hspd1/Sod2/Sirt1/Cd34/Mef2c/Cpeb4/Btbd10",50
"GO:0050854","regulation of antigen receptor-mediated signaling pathway","19/2445","57/23210",3.07681030648036e-06,5.47817882378662e-05,3.36810595679802e-05,"Ptpn2/Bcl10/Ezr/Rela/Lgals3/Ptpn22/Malt1/Cblb/Ada/Gcsam/Thy1/Lpxn/Nectin2/Nfam1/Cd19/Ptprc/Pawr/Elf1/Cd22",19
"GO:0072577","endothelial cell apoptotic process","19/2445","57/23210",3.07681030648036e-06,5.47817882378662e-05,3.36810595679802e-05,"Thbs1/Serpine1/Tnfaip3/Bmp4/Ramp2/Tek/Ecscr/Icam1/Abl2/Tnip2/Nfe2l2/Gata3/Angpt1/Tnf/Angptl4/Kdr/Ccl12/Rgcc/Fasl",19
"GO:0060976","coronary vasculature development","23/2445","78/23210",3.24570476555024e-06,5.76184403512724e-05,3.54250962611678e-05,"Smad6/Apln/Bmp4/Fgfr2/Hey2/Plxnd1/Nrp1/Aplnr/Angpt1/Pdgfrb/Klf5/Srf/Prickle1/Ptk7/Mir143/Fuz/Lrp2/Tab1/Myh10/Gpc3/Fgf2/Spred1/Tgfbr1",23
"GO:0002819","regulation of adaptive immune response","44/2445","205/23210",3.33106369759019e-06,5.89598274473464e-05,3.62498108267168e-05,"Hlx/Anxa1/Pvr/Arid5a/Tnfaip3/H2-T24/Rsad2/Smad7/Prkcq/Gata3/P2rx7/Tnf/Cd48/Il20rb/H2-T10/Mir181b-1/Zc3h12a/Nlrp3/Il6/Malt1/Fcer1g/Traf2/Hfe/Cd44/Spn/Il33/Irf7/Il7r/Ada/Hspa8/Nectin2/Nfkbiz/Cd274/Hspd1/Sirt1/Fcer2a/Ptprc/Ccr2/Il4ra/Mef2c/Dpp4/Muc4/Socs5/Irf1",44
"GO:0002700","regulation of production of molecular mediator of immune response","35/2445","148/23210",3.40182695679967e-06,6.00357613666287e-05,3.69113188860961e-05,"Hmox1/Arid5a/Tnfaip3/Nr4a3/F2rl1/Tlr2/Tek/Tril/Tlr4/Rsad2/Smad7/Ddx21/Gata3/Angpt1/Tnf/Mir181b-1/Mapk3/Ptpn22/Nlrp3/Ceacam1/Il6/Malt1/Apoa1/Wnt5a/Fcer1g/Traf2/Hfe/Il33/Cd37/Prkdc/Ptprc/Ccr2/Il4ra/Cd22/Cgas",35
"GO:0006939","smooth muscle contraction","29/2445","112/23210",3.42109321343283e-06,6.01992367205812e-05,3.70118271628698e-05,"Ptgs2/Adra1a/Adrb1/Ptger4/Mylk/Atp1a2/Npy1r/Edn1/Ednrb/Rock2/Tpcn2/Sphk1/Kit/Gucy1a1/Adora2b/Calcrl/Tifab/Ednra/Srf/Dock4/Gdnf/Rgs2/Calca/Ada/Adra2a/Slc8a1/Arhgap42/Chrnb4/Pawr",29
"GO:0007411","axon guidance","50/2445","245/23210",3.45805463222243e-06,6.06722238388179e-05,3.73026301435072e-05,"Epha2/Ptch1/Gli2/Nr4a3/Plxnd1/Nrp1/Hoxa2/Slit2/Cxcl12/Efnb2/B4gat1/Fezf1/Sema6d/Plxna2/Gata3/Efna1/Wnt3a/Unc5c/Boc/Epha4/Gdnf/Nfib/Plxnc1/Lrp2/Hoxa1/Nrcam/Sema6a/Sema6b/Myh10/Slit3/Artn/Wnt5a/Sema3g/Robo2/Gas1/Zswim4/Egr2/Ptpro/Epha3/Zswim5/Cdk5r1/Nexn/Ablim1/Ephb6/Sema3c/Smo/Evl/Tubb3/Epha1/Bmpr1b",50
"GO:0050680","negative regulation of epithelial cell proliferation","34/2445","142/23210",3.48006379826023e-06,6.08808835404944e-05,3.74309187603572e-05,"Snai2/Thbs1/Ptch1/Nr2f2/Mtss1/Acvrl1/Bmp4/Atoh8/Fgfr2/Gja1/Klf9/Esr2/Dll4/Efnb2/Gata3/Nupr1/Zfas1/Tnf/Fgfr3/Ar/Wnt10b/Nfib/Stat1/Sfrp2/Ceacam1/Wnt5a/Ccl12/Gas1/Strap/Gpc3/Rgcc/Ift172/Mef2c/Tgfbr1",34
"GO:0060759","regulation of response to cytokine stimulus","30/2445","118/23210",3.50738039033582e-06,6.11809135914231e-05,3.76153838963552e-05,"Casp4/Ptpn2/Il1r2/F2rl1/Tlr2/Sphk1/Tlr4/Slit2/Irgm2/Rffl/Nol3/Ripk1/Angpt1/H2bc21/Cd300lf/Spata2/Il6/Parp9/Slit3/Apoa1/Wnt5a/Traf2/Irf7/Txk/Ythdf2/Klf4/Tbk1/Ifih1/Ptprc/Cnot7",30
"GO:0031396","regulation of protein ubiquitination","43/2445","199/23210",3.56827196524438e-06,6.20631811758401e-05,3.81578215936537e-05,"Gclc/Foxf2/Birc3/Prkcg/Trib1/Tnfaip3/Sept4/Gtpbp4/Fam107a/Sphk1/Smad7/Lrrk2/Bcl10/Rassf1/Angpt1/Cry1/Hsp90aa1/Prickle1/Fgfr3/Arrb1/Hsp90ab1/Nmi/Senp2/Trib3/Sox4/Trib2/Ubxn2a/Rpl11/Hspa5/Herpud1/Ptpn22/Phf23/Plaa/Fbxo4/Cblb/Arrdc3/Siah2/Dnajb2/March7/Ube2s/Dcun1d3/Gbp4/Tgfbr1",43
"GO:0033032","regulation of myeloid cell apoptotic process","14/2445","34/23210",3.59584082979578e-06,6.23624498954208e-05,3.83418186462375e-05,"Slc7a11/Anxa1/Thra/Fcer1g/Cd44/Clec5a/St6gal1/Hcar2/Ccl5/Itpkb/Sirt1/Tcp1/Mef2c/Cxcr2",14
"GO:0060249","anatomical structure homeostasis","71/2445","392/23210",3.72432197222323e-06,6.4405085140343e-05,3.95976761414539e-05,"Flt3l/Muc13/Hspa1a/Myc/Ppp1r10/Ptger4/Pdk4/Lox/Gnl3/Ctsk/Tlr4/Slx1b/Smg1/Pml/Cfl2/Tep1/Prkcq/P2rx7/Pdgfrb/Srf/Hsp90aa1/Smg5/Fgf7/Hsp90ab1/Kdr/Il20rb/Ccn2/P2ry2/Nox4/Ankrd11/Mapk3/Ptpn11/Mak/Cx3cl1/Ceacam1/Pot1b/Il6/Egfr/Adam8/Nbn/Strap/Itgav/Fbxo4/Piwil4/Homer1/Prom1/Ctsh/Dclre1b/Scx/Hif1a/Abca4/Ctc1/Prkdc/Lmna/Cct3/Rab3d/Dna2/Tnfrsf11b/Smo/S1pr1/Cd34/Gcnt2/Tff2/Tcp1/Ccr2/Large1/Pot1a/Nat10/Muc4/Upf1/Ctss",71
"GO:0090257","regulation of muscle system process","49/2445","239/23210",3.76770553315456e-06,6.4968630081731e-05,3.99441560821543e-05,"Ptgs2/Gata5/Adra1a/Adrb1/Ptger4/Atp1a2/Errfi1/Edn1/Nr4a3/Atp1b1/Rock2/Arg2/Sphk1/Kit/Smad7/Gucy1a1/Adora2b/Pde9a/Nol3/Calcrl/Scn4a/Tifab/Srf/Dock4/Ctdp1/Ccn2/Zc3h12a/Pde5a/Lmcd1/Rgs2/Stc1/Calca/Ada/Adra2a/Klf4/Hdac4/Lmna/Camk2d/Slc8a1/Sirt1/Arhgap42/Srl/Chrnb4/Pawr/Dsp/Trpc3/Fxyd1/Mef2c/Nr3c1",49
"GO:0006022","aminoglycan metabolic process","27/2445","101/23210",3.82643525879224e-06,6.57928211068906e-05,4.0450887021518e-05,"Ptger4/Has1/Chst1/Hyal1/Cemip2/Sgsh/Il15/Angpt1/Hyal2/Pdgfrb/Chst7/Egflam/B3gnt3/Cd44/B3gnt7/Fgf2/Chil4/B4galt5/Extl2/Mamdc2/Slc35d1/Chia1/Chst12/Chst3/Ovgp1/Ugdh/Cln6",27
"GO:0097485","neuron projection guidance","50/2445","246/23210",3.90284676635813e-06,6.69154753274736e-05,4.11411197593307e-05,"Epha2/Ptch1/Gli2/Nr4a3/Plxnd1/Nrp1/Hoxa2/Slit2/Cxcl12/Efnb2/B4gat1/Fezf1/Sema6d/Plxna2/Gata3/Efna1/Wnt3a/Unc5c/Boc/Epha4/Gdnf/Nfib/Plxnc1/Lrp2/Hoxa1/Nrcam/Sema6a/Sema6b/Myh10/Slit3/Artn/Wnt5a/Sema3g/Robo2/Gas1/Zswim4/Egr2/Ptpro/Epha3/Zswim5/Cdk5r1/Nexn/Ablim1/Ephb6/Sema3c/Smo/Evl/Tubb3/Epha1/Bmpr1b",50
"GO:0061005","cell differentiation involved in kidney development","17/2445","48/23210",3.94712784849404e-06,6.74824300915828e-05,4.14896961347385e-05,"Tcf21/Ptch1/Mtss1/Bmp4/Prkx/Gata3/Jag1/Gdnf/Osr1/Basp1/Ptpro/Prom1/Lif/Smo/Fat4/Klf15/Mef2c",17
"GO:1902105","regulation of leukocyte differentiation","57/2445","294/23210",4.01540675381637e-06,6.84552913440989e-05,4.20878328303699e-05,"Clec2d/Hlx/Flt3l/Zbtb16/Myc/Anxa1/Ptpn2/Trib1/Lrrc17/Bmp4/Tmem178/Smad7/Zeb1/Ccr1/Ripk1/Gata3/Il15/Hsp90aa1/Tnf/Fgfr3/Cd101/Tfe3/Tnfsf9/Zc3h12a/Tcta/Cebpb/Nlrp3/Ceacam1/Il6/Malt1/Adam8/Lgals9/Cd44/Fas/Fgl2/Card11/Il7r/Il2rg/Adrm1/Ada/Rbp1/Ccl5/Shb/Lif/Nfkbiz/Itpkb/Nfam1/Lag3/Ccl3/Myb/Zfp36l2/Ptprc/Ccr2/Il4ra/H2-Oa/Socs5/Irf1",57
"GO:0043372","positive regulation of CD4-positive, alpha-beta T cell differentiation","13/2445","30/23210",4.04624313406073e-06,6.87861332790323e-05,4.22912417966799e-05,"Hlx/Anxa1/Nlrp3/Il6/Malt1/Il2rg/Shb/Nfkbiz/Myb/Ccr2/Il4ra/Socs5/Irf1",13
"GO:0048872","homeostasis of number of cells","60/2445","315/23210",4.08526666116485e-06,6.92360958055592e-05,4.25678887471867e-05,"Slc7a11/Klf2/Flt3l/Hoxa5/Hmox1/Anxa1/Ptpn2/Tnfaip3/Bmp4/Stat3/Spns2/Alas2/Ccnb2/Cebpg/Thra/Hspa9/Bpgm/Kit/Bcl10/Fech/Gata3/P2rx7/Cxcl5/Prdx1/Hba-a1/Srf/Ampd3/Inhba/Jmjd6/Stat1/Il20rb/Slc4a1/Ahr/Ptpn11/Ceacam1/Il6/Fam210b/Fcer1g/Flvcr1/Cd44/Fas/Card11/Il7r/Ada/Zfp36/Hif1a/Hcar2/Ets1/Map7/Senp1/Itpkb/Smo/Chst3/Myb/Gcnt4/Skil/Ccr2/Mef2c/Cxcr2/Rrn3",60
"GO:0042770","signal transduction in response to DNA damage","25/2445","90/23210",4.09572118756715e-06,6.92360958055592e-05,4.25678887471867e-05,"Snai2/Cdkn1a/Bcl3/Gadd45a/Sesn2/Pml/Ankrd1/Chek1/Mdm2/Pla2r1/Tfap4/Senp2/Sox4/Myo6/Batf/Cd44/Nbn/Snai1/Eef1e1/March7/Prkdc/Casp2/Sirt1/Spred1/Cradd",25
"GO:0061572","actin filament bundle organization","38/2445","168/23210",4.14926951149376e-06,6.99448289080377e-05,4.30036335925124e-05,"Sh3pxd2b/Id1/Fhod1/Ptger4/Mtss1/Tacstd2/Rock2/Fam171a1/Fam107a/Kank4/Nrp1/Arhgef15/Abl2/Ezr/Prkcq/Sdc4/Srf/Arhgef10/Arrb1/Itgb5/Ccn2/Nox4/Cx3cl1/Myh10/Actn4/Apoa1/Spire2/Baiap2/Ppm1f/Rgcc/Fscn1/Dpysl3/S1pr1/Pawr/Evl/Pik3r2/Epha1/Tgfbr1",38
"GO:2000278","regulation of DNA biosynthetic process","30/2445","119/23210",4.22187553418773e-06,7.09699635886641e-05,4.36339091522196e-05,"Fgfr4/Myc/Cdkn1a/Acvrl1/Gja1/Pml/Prkcq/Kcnk2/Pdgfrb/Hsp90aa1/Ankrd1/Chek1/Smg5/Hsp90ab1/Nox4/Mapk3/Ahr/Pot1b/Dach1/Fbxo4/Fgf2/Klf4/Rfc2/Ctc1/Cct3/Hgf/Camk2d/Tcp1/Pot1a/Nat10",30
"GO:0071425","hematopoietic stem cell proliferation","12/2445","26/23210",4.2578351617791e-06,7.13750752189043e-05,4.38829807759963e-05,"Wnt10b/Arih2/Pim1/Sfrp2/Wnt5a/Ythdf2/Ctc1/Shb/Cxcl1/Thpo/Cd34/Etv6",12
"GO:0032635","interleukin-6 production","37/2445","162/23210",4.34558626703441e-06,7.23439652922716e-05,4.44786759025266e-05,"Klf2/Arid5a/Tnfaip3/Mapkapk2/Stat3/F2rl1/Tlr2/Il1f9/Tlr4/Adora2b/P2rx7/Myd88/Hyal2/Mmp8/Tnf/Arrb1/Lilra5/Tnfsf9/Zc3h12a/Vegfd/Ptpn22/Ptpn11/Cebpb/Il6/Wnt5a/Tlr6/Lgals9/Fcer1g/Afap1l2/Il33/Hgf/Unc93b1/Hspd1/Ifih1/Bank1/Socs5/Il18rap",37
"GO:0055001","muscle cell development","44/2445","207/23210",4.35169748019314e-06,7.23439652922716e-05,4.44786759025266e-05,"Smad6/Tbx3/Rcan1/Adra1a/Adrb1/Krt8/Krt19/Lox/Adm/Edn1/Bmp4/Ramp2/Hey2/Cfl2/Pdlim5/Pdgfrb/Srf/Acta1/Wnt10b/Ctdp1/Tmod1/Pgm5/Tmod2/Myh10/Uchl1/Actg1/Rgs2/Fhl2/Ptcd2/Mybpc3/Homer1/Popdc2/Hdac4/Lmna/Map2k4/Camk2d/Smo/Slc8a1/Sirt1/Flnc/Mef2c/Ankrd23/Wdr1/Nr3c1",44
"GO:0097529","myeloid leukocyte migration","44/2445","207/23210",4.35169748019314e-06,7.23439652922716e-05,4.44786759025266e-05,"Thbs1/Ptger4/Anxa1/Serpine1/Edn1/Ednrb/Ccl17/Il1f9/Kit/Slit2/Cxcl12/Ccr1/Myd88/Cxcl5/Ednra/Itga1/Retnlg/Cmklr1/Lgals3/S100a8/Akirin1/Vegfd/Mapk3/Cx3cl1/Adam8/Fcer1g/Ccl12/Cxcl17/Cxcl10/Ptpro/Cd99l2/S100a9/Pdgfd/Ccl25/Ccl5/Cx3cr1/Cxcl1/Ccl9/Ccl3/Pawr/Ccr2/Wdr1/Cxcr2/Csf3r",44
"GO:0045786","negative regulation of cell cycle","79/2445","452/23210",4.42657742629143e-06,7.33860687366992e-05,4.51193842349264e-05,"Plk3/Ptgs2/Thbs1/Myc/Ppp1r10/Cdkn1a/Gadd45a/Nr2f2/Tnfaip3/Bmp4/Slc25a33/Fgfr2/Fam107a/Ddit3/Pml/Khdc3/Rps6ka2/Rassf1/Tpra1/Ripk1/Gata3/Nupr1/Zfp655/Cry1/Miip/Hpgd/Ern1/Wee1/Zwint/Tnf/Dgkz/Fgfr3/Chek1/Inhba/Mdm2/Wnt10b/Hsp90ab1/Tfap4/Cdkn2c/Donson/Usp47/Sox4/Dot1l/Ptpn11/Nabp1/Rnaseh2b/Egfr/Ccl12/Gas1/Nbn/Sde2/Trp53inp1/Fbxo4/Mbd4/Ctdspl/Ier3/Cdk4/Dclre1b/Susd2/Hexim1/Cdk5r1/Zc3h12d/Tom1l1/Klf4/Rgcc/Bcl2l1/Lif/Prkdc/Ets1/Casp2/Dcun1d3/Dna2/Nr4a1/Skil/Zfp36l2/Sgsm3/Rrp8/Cradd/Irf1",79
"GO:0044770","cell cycle phase transition","71/2445","394/23210",4.47947145388348e-06,7.40589538721724e-05,4.55330889543101e-05,"Plk3/Rhou/Anxa1/Cdkn1a/Fam83d/Hyal1/Ccnb2/Fam107a/Riok2/Pml/Khdc3/Tpra1/Ripk1/Prkcq/Zfp655/Miip/Nasp/Rbbp8/Dgkz/Chek1/Inhba/Ino80/Cacul1/Bach1/Mdm2/Wnt10b/Ctdp1/Tcim/Tfap4/Cdkn2c/Donson/Senp2/Usp47/Sox4/Rnaseh2b/Mepce/Ddx3x/Egfr/Ccl12/Gas1/Nbn/Eif4ebp1/Cks2/Abcb1a/Mbd4/Ctdspl/Hacd1/Ier3/Stxbp4/Ankrd17/Cdk4/Susd2/Zc3h12d/Klf4/Rgcc/Ube2s/Dbf4/Ctc1/Prkdc/Casp2/Rps6kb1/Dcun1d3/Camk2d/Myb/Lzts1/Zfp36l2/Ptprc/Cdk14/E2f6/Cradd/Upf1",71
"GO:0045580","regulation of T cell differentiation","35/2445","150/23210",4.69640161407351e-06,7.74327257903956e-05,4.76073588275945e-05,"Hlx/Zbtb16/Anxa1/Ptpn2/Bmp4/Smad7/Zeb1/Gata3/Il15/Hsp90aa1/Tnfsf9/Zc3h12a/Nlrp3/Il6/Malt1/Adam8/Lgals9/Cd44/Fgl2/Card11/Il7r/Il2rg/Adrm1/Ada/Shb/Nfkbiz/Itpkb/Lag3/Myb/Ptprc/Ccr2/Il4ra/H2-Oa/Socs5/Irf1",35
"GO:0046635","positive regulation of alpha-beta T cell activation","21/2445","69/23210",4.9337906814739e-06,8.09975095933395e-05,4.97990670480818e-05,"Hlx/Zbtb16/Anxa1/Prkcq/Cd80/Ptpn22/Nlrp3/Ceacam1/Il6/Malt1/Il2rg/Ada/Shb/Nfkbiz/Itpkb/Myb/Ptprc/Ccr2/Il4ra/Socs5/Irf1",21
"GO:0007389","pattern specification process","81/2445","468/23210",4.9395290828773e-06,8.09975095933395e-05,4.97990670480818e-05,"Meox2/Smad6/Tbx3/Fgfr4/Gata5/Ripply3/Ptch1/Zbtb16/Hoxa5/Tbx2/Wnt2/Hey1/Nr2f2/Acvrl1/Edn1/Bmp4/Gli2/Bhlhe40/Foxf1/Invs/Fgfr2/Grem2/Lrp4/Hey2/Hoxa4/Gja1/Axin2/Nrp1/Hoxa2/Ddit3/Cc2d2a/Dll4/Fezf1/Zeb1/Plxna2/Hhip/Cfap53/Tifab/Hoxb4/Wnt3a/Irx3/Srf/Lfng/Ar/Gdnf/Tbx5/Fuz/Lrp2/Hoxa1/Senp2/Mfng/Osr1/Sox17/Rnf2/Sfrp2/Cdon/Hspb11/Wnt5a/Robo2/Bmp5/Stc1/Gas1/Snai1/Egr2/Gpc3/Fgf2/Tgif1/Ets2/Hif1a/Foxa2/Arc/Prkdc/Sema3c/Spry1/Smo/Mtf2/Ift172/Mef2c/Arl13b/Bmpr1b/Tgfbr1",81
"GO:0050731","positive regulation of peptidyl-tyrosine phosphorylation","42/2445","195/23210",5.01808185610772e-06,8.18517072421338e-05,5.03242467258051e-05,"Areg/Cass4/Adra1a/Ptger4/Hbegf/Ehd4/Nrg1/Ptpn1/Lrp4/Tlr4/Nrp1/Kit/Icam1/Efna1/Il15/Angpt1/Wnt3a/Ghr/Tnf/Vtn/Fgfr3/Epha4/Bmp6/Gdnf/Fgf7/Lilra5/Lrp8/Nox4/Cd80/Ptpn11/Il6/Parp9/Dok7/Sh2d1b1/Cd44/Itga5/Adra2a/Ccl5/Lif/Hgf/Ptprc/Bank1",42
"GO:0043434","response to peptide hormone","61/2445","324/23210",5.01882352481678e-06,8.18517072421338e-05,5.03242467258051e-05,"Anxa1/Pdk4/Sesn2/Ptpn2/Lpin2/Stat3/Socs3/Nr4a3/Slc25a33/Ptpn1/Ednrb/Rock2/Eprs/Serpina3m/Pid1/Prkcq/Rela/Irs2/Cry1/Ghr/Pik3r3/Adcy8/Serpina3n/Inhbb/Mir143/Stat1/Appl2/Trim16/Serpina3i/Pdk2/Trib3/Ndel1/Ptpn11/Srsf3/Gdf15/Pde3b/Eif4ebp1/Egr2/Adrm1/Uso1/Stxbp4/Cdk4/Eif4ebp2/Rangap1/Leprot/Socs7/Uchl3/Cacybp/Serpina1d/Reg3g/Prkdc/Rps6kb1/Cpeb2/Nr4a1/Crk/Klf15/Sirt1/Cdo1/Pik3r2/Irf1/Eif6",61
"GO:0044070","regulation of anion transport","30/2445","120/23210",5.06779207200169e-06,8.2426953214341e-05,5.06779207200169e-05,"Fgfr4/Thbs1/Atf4/Map2k6/Edn1/Arg2/Prkg2/Eprs/Ripk1/P2rx7/Irs2/Tnf/Slc36a2/Pla2r1/Dtnbp1/P2ry2/Acsl4/Osr1/Cebpb/Snca/Apoa1/Rgs2/Stc1/Fgf23/Abcb1a/Stc2/Adora2a/Fxyd1/Nr3c1/Cftr",30
"GO:0051480","regulation of cytosolic calcium ion concentration","68/2445","374/23210",5.17402746755107e-06,8.39280250666371e-05,5.16008130187034e-05,"Adra1a/Adrb1/Ptger4/Atp1a2/Npy1r/Adm/Glp1r/Edn1/Bmp4/Tmem178/F2rl1/Ednrb/Tpcn2/Gja1/Aplnr/Ccrl2/Cckar/Ddit3/Pml/Abl2/Ccr1/Nol3/P2rx7/Bdkrb1/Ackr3/Ednra/Cd52/Adcy8/Cmklr1/Plcb2/Slc35g1/Kdr/P2ry2/Cx3cl1/Snca/Gsto1/Wnt5a/Calca/Itgav/Cxcl17/Cxcl10/Gstm7/Fgf2/Thy1/Ackr2/Kcnk3/Lpar3/Ms4a1/Cx3cr1/Cxcl1/Trpc6/Cxcr5/Ero1l/Fpr1/Fasl/Camk2d/Ccl3/Cd19/Slc8a1/S1pr1/Ackr4/Ptprc/Pawr/Ccr2/Trpc3/Plce1/Fxyd1/Cxcr2",68
"GO:0048705","skeletal system morphogenesis","52/2445","262/23210",5.20618882463748e-06,8.42226998566353e-05,5.17819856213943e-05,"Thbs1/Sh3pxd2b/Hoxa5/Myc/Frem1/Bmp4/Zfand5/Sox11/Hyal1/Fgfr2/Hoxa4/Thra/Tiparp/Axin2/Hoxa2/Zeb1/Scube2/Hhip/Tifab/Hoxb4/P2rx7/Hyal2/Pdgfrb/Tbx4/Fgfr3/Dhrs3/Bmp6/Csrnp1/Wnt10b/Alpl/Fuz/Hoxa1/Fgf18/Ccn2/Ankrd11/Osr1/Ltf/Rab33b/Sfrp2/Col12a1/Flvcr1/Stc1/Gas1/Pappa2/Scx/Arid5b/Nab1/Rdh10/Nab2/Mef2c/Bmpr1b/Tgfbr1",52
"GO:2000027","regulation of animal organ morphogenesis","44/2445","209/23210",5.65589066368905e-06,9.12524129063826e-05,5.61040092644758e-05,"Fgfr4/Snai2/Gata5/Tbx2/Myc/Wnt2/Tnfaip3/Edn1/Bmp4/Tacstd2/Fgfr2/Pml/Abl2/B4galt1/Gata3/Wnt3a/Ednra/Tnf/Jag1/Ar/Gdnf/Ptk7/Fgf7/Etv5/Nfib/Tbx5/Sox17/Pim1/Sfrp2/Ceacam1/Wnt5a/Robo2/Gpc3/Fgf2/Lif/Sema3c/Hgf/Spry1/Tnfrsf11b/Smo/Numb/Cd34/Tgfbr1/Dvl3",44
"GO:0032611","interleukin-1 beta production","24/2445","86/23210",5.80410763194064e-06,9.33933682594085e-05,5.74203161448673e-05,"Casp4/Errfi1/Tnfaip3/F2rl1/Tlr2/Arg2/Sphk1/Tlr4/Pml/P2rx7/Gbp5/Ifi205/Trim16/Lilra5/Zc3h12a/Nlrp3/Malt1/Cptp/Apoa1/Wnt5a/Tlr6/Mr1/Cx3cr1/Ccl3",24
"GO:0048640","negative regulation of developmental growth","31/2445","127/23210",6.04610647480578e-06,9.70279167076832e-05,5.96549172180837e-05,"Adrb1/Ptch1/Cdkn1a/Bmp4/Stk4/Meis1/Gja1/Nrp1/Slit2/Sema6d/Ripk1/Kcnk2/Wnt3a/Fgfr3/Adrb3/Ctdp1/Tbx5/Rgma/Sema6a/Sema6b/Sfrp2/Gdf15/Wnt5a/Sema3g/Rgs2/Stc2/Cdk5r1/Plac8/Sema3c/Bcl11a/Arhgap4",31
"GO:0048568","embryonic organ development","84/2445","493/23210",6.20340553794381e-06,9.92874854450688e-05,6.10441502404046e-05,"Tbx3/Foxf2/Sox18/Hlx/Flt3l/Tcf21/Epha2/Ptch1/Hoxa5/Tbx2/Myc/Krt8/Wnt2/Hey1/Krt19/Nr2f2/Adm/Edn1/Bmp4/Stk4/Gli2/Socs3/Nr4a3/Sox11/Hyal1/Foxf1/Invs/Fgfr2/Hey2/Hoxa4/Gja1/Kit/Hoxa2/Pcdh12/Itga8/Cc2d2a/Zeb1/Tifab/Hoxb4/Gata3/Efna1/Ggnbp2/Pdgfrb/Wnt3a/Hs6st1/Srf/Slitrk6/St14/Gdnf/Ptk7/Fendrr/Fuz/Kdr/Hoxa1/Senp2/Osr1/Mapk3/Ahr/Rbbp6/Sox17/Cebpb/Spry2/Egfr/Myo6/Wnt5a/Ppp1r13l/Flvcr1/Bmp5/Gas1/Itgav/Snai1/Ada/Hif1a/Junb/Lif/Rdh10/Smo/Myb/Slc8a1/Ift172/Mef2c/Arl13b/Tgfbr1/Dvl3",84
"GO:0014909","smooth muscle cell migration","25/2445","92/23210",6.2921752288193e-06,0.000100441141981524,6.1753443890269e-05,"F3/Myc/Ptger4/Trib1/Serpine1/Nr4a3/Ppargc1a/Slit2/Nfe2l2/Sema6d/Pdgfrb/Dock4/Vtn/Mdm2/P2ry2/Nox4/Postn/Pdgfd/Hdac4/Ccl5/Rps6kb1/Camk2d/Smo/Crk/Mef2c",25
"GO:1990868","response to chemokine","21/2445","70/23210",6.35334231838116e-06,0.000100882359029071,6.20247139261485e-05,"Lox/Ccl17/Slit2/Cxcl12/Ccr1/Cxcl5/Ackr3/Zc3h12a/Cx3cl1/Slit3/Ccl12/Cxcl17/Cxcl10/Ccl25/Ccl5/Cxcl1/Ccl9/Ccl3/Thpo/Tff2/Rbm15",21
"GO:1990869","cellular response to chemokine","21/2445","70/23210",6.35334231838116e-06,0.000100882359029071,6.20247139261485e-05,"Lox/Ccl17/Slit2/Cxcl12/Ccr1/Cxcl5/Ackr3/Zc3h12a/Cx3cl1/Slit3/Ccl12/Cxcl17/Cxcl10/Ccl25/Ccl5/Cxcl1/Ccl9/Ccl3/Thpo/Tff2/Rbm15",21
"GO:0051403","stress-activated MAPK cascade","51/2445","257/23210",6.41194512752304e-06,0.000101544962572194,6.24320972943033e-05,"Ptger4/Tnfrsf19/Gadd45a/Gadd45g/Trib1/Mapkapk2/Edn1/Samd5/F2rl1/Ptpn1/Il1f9/Sphk1/Tlr4/Ezr/Map2k3/Ripk1/Rap2a/Per1/Hmgcr/Myd88/Prdx1/Gadd45b/Ern1/Mmp8/Tnf/Fgfr3/Epha4/Mid1/Dtnbp1/Ccn2/Zc3h12a/Mapk3/Ptpn22/Sfrp2/Ceacam1/Egfr/Wnt5a/Dixdc1/Tlr6/Traf2/Fas/Map4k2/Tiam1/Dusp19/Fzd4/Mlkl/Zfp36/Map2k4/Hgf/Fgd2/Dvl3",51
"GO:0050706","regulation of interleukin-1 beta secretion","15/2445","40/23210",6.46335053191061e-06,0.000102090402889864,6.2767446110418e-05,"Casp4/Tnfaip3/Tlr2/Arg2/Tlr4/Pml/P2rx7/Trim16/Lilra5/Zc3h12a/Nlrp3/Cptp/Apoa1/Wnt5a/Ccl3",15
"GO:0032479","regulation of type I interferon production","23/2445","81/23210",6.56574962516162e-06,0.000103436338335661,6.35949571023508e-05,"Relb/Tlr2/Polr3d/Tlr4/Myd88/Dhx33/Trim15/Nploc4/Stat1/Rel/Nmi/Ptpn22/Ptpn11/Irf7/Cd14/Tbk1/Hspd1/Rnf26/Gbp4/Ifih1/Cgas/Irf1/Tmem173",23
